Journey,Activity,Card Index,Card Type,Severity,Issue,Details
"divorced_anniversaries_occasions","act_1_emotional_calendar",3,"question","error","Invalid prompt format","Prompt 0 is not a dict: <class 'str'>"
"divorced_anniversaries_occasions","act_1_emotional_calendar",3,"question","error","Invalid prompt format","Prompt 1 is not a dict: <class 'str'>"
"divorced_anniversaries_occasions","act_1_emotional_calendar",3,"question","error","Invalid prompt format","Prompt 2 is not a dict: <class 'str'>"
"divorced_anniversaries_occasions","act_1_emotional_calendar",3,"question","error","Invalid prompt format","Prompt 3 is not a dict: <class 'str'>"
"divorced_anniversaries_occasions","act_1_emotional_calendar",3,"question","error","Invalid prompt format","Prompt 4 is not a dict: <class 'str'>"
"divorced_anniversaries_occasions","act_1_emotional_calendar",3,"question","error","Invalid prompt format","Prompt 5 is not a dict: <class 'str'>"
"divorced_anniversaries_occasions","act_1_emotional_calendar",3,"question","error","Invalid prompt format","Prompt 6 is not a dict: <class 'str'>"
"divorced_anniversaries_occasions","act_1_emotional_calendar",3,"question","error","Invalid prompt format","Prompt 7 is not a dict: <class 'str'>"
"divorced_coparenting","act_1_children_first",3,"question","error","Invalid prompt format","Prompt 0 is not a dict: <class 'str'>"
"divorced_coparenting","act_1_children_first",3,"question","error","Invalid prompt format","Prompt 1 is not a dict: <class 'str'>"
"divorced_coparenting","act_1_children_first",3,"question","error","Invalid prompt format","Prompt 2 is not a dict: <class 'str'>"
"divorced_coparenting","act_1_children_first",3,"question","error","Invalid prompt format","Prompt 3 is not a dict: <class 'str'>"
"divorced_coparenting","act_1_children_first",3,"question","error","Invalid prompt format","Prompt 4 is not a dict: <class 'str'>"
"divorced_coparenting","act_1_children_first",3,"question","error","Invalid prompt format","Prompt 5 is not a dict: <class 'str'>"
"divorced_coparenting","act_1_children_first",3,"question","error","Invalid prompt format","Prompt 6 is not a dict: <class 'str'>"
"divorced_dating_again","act_1_dating_again_realities",3,"question","error","Invalid prompt format","Prompt 0 is not a dict: <class 'str'>"
"divorced_dating_again","act_1_dating_again_realities",3,"question","error","Invalid prompt format","Prompt 1 is not a dict: <class 'str'>"
"divorced_dating_again","act_1_dating_again_realities",3,"question","error","Invalid prompt format","Prompt 2 is not a dict: <class 'str'>"
"divorced_dating_again","act_1_dating_again_realities",3,"question","error","Invalid prompt format","Prompt 3 is not a dict: <class 'str'>"
"divorced_dating_again","act_1_dating_again_realities",3,"question","error","Invalid prompt format","Prompt 4 is not a dict: <class 'str'>"
"divorced_dating_again","act_1_dating_again_realities",3,"question","error","Invalid prompt format","Prompt 5 is not a dict: <class 'str'>"
"divorced_developing_trust","act_1_trust_damage",3,"question","error","Invalid prompt format","Prompt 0 is not a dict: <class 'str'>"
"divorced_developing_trust","act_1_trust_damage",3,"question","error","Invalid prompt format","Prompt 1 is not a dict: <class 'str'>"
"divorced_developing_trust","act_1_trust_damage",3,"question","error","Invalid prompt format","Prompt 2 is not a dict: <class 'str'>"
"divorced_developing_trust","act_1_trust_damage",3,"question","error","Invalid prompt format","Prompt 3 is not a dict: <class 'str'>"
"divorced_developing_trust","act_1_trust_damage",3,"question","error","Invalid prompt format","Prompt 4 is not a dict: <class 'str'>"
"divorced_developing_trust","act_1_trust_damage",3,"question","error","Invalid prompt format","Prompt 5 is not a dict: <class 'str'>"
"divorced_discerning_healthy_love","act_1_confused_about_love",3,"question","error","Invalid prompt format","Prompt 0 is not a dict: <class 'str'>"
"divorced_discerning_healthy_love","act_1_confused_about_love",3,"question","error","Invalid prompt format","Prompt 1 is not a dict: <class 'str'>"
